Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
Vegetable,Concombre Vert Long de Chine,20,5,18,0.4,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""China"",""United States""]","[""Spring"",""Summer""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",4,12,24,1,"concombre vert long de chine
le sachet de 15 graines"
Vegetable,Concombre Blanc Long Parisien,22,5,18,0.25,4,300,70,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]","[""France"",""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,10,Every 2 days,"[""Organic compost"",""NPK fertilizer""]",2,12,24,1,"concombre blanc long parisien
le sachet de 15 graines"
Vegetable,Chicorée Frisée Wallonne,15,2,10,0.3,3,18000,70,"[""Loamy"",""Sandy""]","[""Belgium"",""France"",""Netherlands""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,12,12,0.5,"chicorée frisée wallonne
le sachet de +/- 850 graines"
Leafy Vegetable,Chicorée Frisée Grosse Pancalière,20,5,15,0.3,3,3000,70,"[""Loamy"",""Sandy"",""Clay""]","[""France"",""Italy"",""Belgium""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,16,12,0.5,"chicorée frisée grosse pancalière
le sachet de +/- 850 graines"
Vegetable,Chicorée Frisée Grosse Pommant Seule,15,5,10,0.2,2,28800,60,"[""Loamy"",""Sandy""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,18,1,"chicorée frisée grosse pommant seule
le sachet de +/- 850 graines"
Vegetable,Chicorée frisée de Ruffec,18,2.5,15,0.25,4,24000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,16,12,0.2,"chicorée frisée de ruffec
le sachet de +/- 850 graines"
Vegetable,Chicorée frisée fine de Louviers,19,3,15,0.3,4,24000,70,"[""Loam"",""Silt"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Autumn""]",40,35,10,48,"[""Organic compost"",""Liquid fertilizer""]",2,12,12,0.5,"chicorée frisée fine de louviers
le sachet de +/- 850 graines"
Vegetable,Chicorée Frisée de Namur,18,2,12,0.3,4,3600,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Belgium"",""France"",""Netherlands""]","[""Spring"",""Fall""]",40,35,10,48,"[""Organic compost"",""NPK fertilizer""]",4,12,12,0.5,"chicorée frisée de namur
le sachet de +/- 850 graines"
Leafy vegetable,Chicorée scarole ronde verte à coeur plein,15,5,12,0.35,3,24000,70,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Central Europe""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,12,0.5,"chicorée scarole ronde verte à coeur plein
le sachet de +/- 850 graines"
Leafy Vegetable,Chicorée Scarole en Cornet d'Anjou,15,2,12,0.3,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Italy"",""Belgium""]","[""Spring"",""Fall""]",40,30,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,16,0.4,"chicorée scarole en cornet d'anjou
le sachet de +/- 850 graines"
Leafy vegetable,Chicorée Scarole Géante Maraîchère,20,5,18,0.25,3,18000,70,"[""Loam"",""Silt"",""Clay""]","[""France"",""Italy"",""Belgium""]","[""Spring"",""Fall""]",40,35,30,48,"[""Organic compost"",""Fish emulsion""]",4,12,16,0.5,"chicorée scarole géante maraîchère
le sachet de +/- 850 graines"
Legume,Haricot Nain Mangetout Rocbrun,15-25,5-10,15-20,0.3-0.5,3-5,6-8,60-80,"[""Well-drained loamy soil""]","[""Temperate regions with mild summers""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",3-4,20-24,12-18,1-2,"haricot nain mangetout rocbrun
le sachet de +/- 120 graines"
Vegetable,Haricot nain mangetout beurre dior,15-25,5-10,15-20,0.2-0.3,3-5,6-8,40-60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer""]",30,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-4,24,12,1-2,"haricot nain mangetout beurre dior
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Beurre Helios,20,5,18,0.3,3,24000,60,"[""Loamy"",""Sandy""]","[""France"",""United States"",""Canada""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,20,12,2,"haricot nain beurre helios
le sachet de +/- 120 graines"
Vegetable,Haricot nain à écosser langue de feu,20,5,15,0.3,2,3000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Belgium"",""Switzerland""]","[""Spring"",""Summer""]",40,35,50,48,"[""Compost"",""Organic fertilizer""]",4,10,12,2,"haricot nain à écosser langue de feu
le sachet de +/- 120 graines"
Bean,Haricot nain à écosser flageolet chevrier vert,20,5,18,0.3,4,3000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Italy"",""Spain""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3,24,12,1,"haricot nain à écosser flageolet chevrier vert
le sachet de +/- 120 graines"
Legume,Haricot nain à écosser borlotto,20,5,18,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Italy"",""Spain""]","[""Spring"",""Summer""]",30,35,15,72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,20,12,2,"haricot nain à écosser borlotto
le sachet de +/- 80 graines"
Legume,Haricot nain à écosser flageolet rouge,20,5,18,0.25,3,3600,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Spain"",""Italy""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,"haricot nain à écosser flageolet rouge
le sachet de +/- 120 graines"
Legume,Haricot nain à écosser Canadian Wonder,20,5,18,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Canada"",""United States""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,20,12,2,"haricot nain à écosser canadian wonder
le sachet de +/- 80 graines"
Vegetable,Haricot nain à écosser flageolet blanc des Flandres,15,5,18,0.25,3,3600,60,"[""Loam"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,20,8,2,"haricot nain à écosser flageolet blanc des flandres
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Filet Fin de Bagnol,15-25,2-5,10-20,0.2-0.3,3-5,6-8,40-60,"[""Loam"",""Sandy loam""]","[""France"",""Europe"",""North America""]","[""Spring"",""Summer""]",20,30,10,24-48,"[""NPK 10-10-10"",""Organic compost""]",2-4,12-18,12x12,1-2,"haricot nain filet fin de bagnol
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Filet Morgane,20,5,18,0.3,3,3600,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Belgium"",""USA""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,2,"haricot nain filet morgane
le sachet de +/- 120 graines"
Legume,Haricot Nain Filet Cupidon,20,5,18,0.4,3,3600,50,"[""Loam"",""Sandy loam""]","[""France"",""Europe""]","[""Spring"",""Summer""]",20,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,20,20,1,"haricot nain filet cupidon
le sachet de +/- 120 graines"
Bean,Haricot Nain Filet Argus,15-25,2-5,20-30,0.2-0.4,4-6,24000-26000,60-80,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""United States"",""Canada""]","[""Spring"",""Summer""]",30,35,20,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,16-20,12x12,1-2,"haricot nain filet argus
le sachet de +/- 120 graines"
Legume,Haricot Nain Mangetout Codair,20,5,15,0.3,2,6000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""France"",""United States"",""Canada""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,2,"haricot nain mangetout codair
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Mangetout La Victoire,15-25,5-10,10-20,0.2-0.3,3-5,2000-2500,60-80,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Temperate regions""]","[""Spring"",""Summer""]",30-40,35-40,30-40,24-48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",2-3,20-30,12-18,1-2,"haricot nain mangetout la victoire
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Mangetout Roi des Belges,15-25,2-5,15-20,0.2-0.4,4-6,6-8,40-60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America""]","[""Spring"",""Fall""]",30,35,20,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-4,12-18,12x12,1-2,"haricot nain mangetout roi des belges
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Mangetout Maxi,15-25,5-10,15-20,0.2-0.3,2-4,6-8,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Early summer""]",30,35,20,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,12-18,12x12,1-2,"haricot nain mangetout maxi
le sachet de +/- 140 graines"
Bean,Haricot Nain Mangetout Calvy,15 °C,3 mm,18 °C,0.2 m³/m³,2 mm/day,600 seconds,60 %,"[""Loamy"",""Sandy"",""Clayey""]","[""France"",""United States"",""Canada""]","[""Spring"",""Summer""]",30 km/h,35 °C,20 mm,48 hours,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks,24 in,12 in,2 in,"haricot nain mangetout calvy
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Mangetout Reine des Pourpres,18.5,3.5,15.2,0.25,2.8,28800,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""United Kingdom"",""United States""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,12,2,"haricot nain mangetout reine des pourpres
le sachet de +/- 120 graines"
Vegetable,Haricot Nain Mangetout Purple Teepee,15-25,5-10,15-20,0.2-0.3,4-6,6-8,40-60,"[""Loamy"",""Sandy"",""Clayey""]","[""Temperate regions"",""Mediterranean regions""]","[""Start summer"",""Spring"",""Autumn""]",20-40,35-40,20-30,12-24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,36-48,12-18,1-2,"haricot nain mangetout purple teepee
le sachet de +/- 180 graines"
Legume,Pois nain à écosser hâtif de Louvain,15-25,2-4,10-20,0.3-0.5,4-6,2400-2800,40-60,"[""Loamy"",""Sandy""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Early Summer""]",20,30,10,48,"[""NPK"",""Compost""]",2-3,12-18,12x12,1-2,"pois nain à écosser hâtif de louvain
le sachet de +/- 300 graines"
Legume,Pois nain à écosser merveille de kelvedon,20,5,15,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""United Kingdom"",""Belgium""]","[""Spring"",""Summer""]",40,35,30,24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,12,12,2,"pois nain à écosser merveille de kelvedon
le sachet de +/- 300 graines"
Vegetable,Pois Nain à Écosser d'Hiver Sima,20,5,15,0.3,3,24000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Netherlands""]","[""Start in Spring"",""End in Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,12,6,2,"pois nain à écosser d'hiver sima
le sachet de +/- 300 graines"
Legume,Pois nain à écosser douce provence,15-25,2-5,10-20,0.2-0.4,2-4,6-8,40-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Fall""]",30-40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,12,12,1,"pois nain à écosser douce provence
le sachet de +/- 350 graines"
Legume,Pois Nain Mangetout Norli,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer""]",30,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,"pois nain mangetout norli
le sachet de +/- 350 graines"
Vegetable,Carotte de Carentan,15,5,20,0.3,2,3600,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,24,"[""Compost"",""Organic fertilizer""]",4,18,12,0.5,"carotte de carentan
le sachet de +/- 2000 graines"
Vegetable,Carotte hâtive d'amsterdam le sachet de +/- 2000 graines,10-25,2-5,8-20,0.2-0.4,3-5,6-8,40-80,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",20,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,10-12,12x12,0.4-0.8,"carotte hâtive d'amsterdam
le sachet de +/- 2000 graines"
Vegetable,Carotte hâtive - Oxhella,20,5,15,0.3,2,3600,60,"[""Sandy loam"",""Loam"",""Silt""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",4,12,8,0.5,"carotte hâtive - oxhella
le sachet de +/- 2020 graines"
Vegetable,Carotte hâtive milan,15,5,12,0.3,3,18000,70,"[""Loamy"",""Sandy"",""Clay""]","[""France"",""Belgium"",""Canada""]","[""Early Spring"",""Late Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,2,"carotte hâtive milan
le sachet de +/- 1850 graines"
Vegetable,Carotte Marché de Paris,20,2,15,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,8,0.5,"carotte marché de paris
le sachet de +/- 2000 graines"
Vegetable,Carotte Dolciva,20,5,18,0.25,4,30000,60,"[""Sandy loam"",""Loam"",""Silt loam""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Spring"",""Fall""]",40,35,10,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3,12,12,0.5,"carotte dolciva
le sachet de +/- 2000 graines"
Vegetable,Chrysanthemum greens,20,5,18,0.3,4,18000,60,"[""Loamy"",""Sandy""]","[""Asia"",""Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,24,12,0.5,chrysanthème comestible shungiku
Vegetable,Aubergine Blanche Ronde à Œufs,25,5,20,0.25,3,3600,60,"[""Loamy"",""Sandy"",""Clay""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,50,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,1,"aubergine blanche ronde à œufs
le sachet de 30 graines"
Vegetable,Aubergine Longue Violette de Barbentane,23,5,18,0.4,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe""]","[""Starts in summer"",""Late summer"",""Early autumn""]",30,40,20,48,"[""Organic compost"",""Manure"",""Liquid fertilizer""]",3,36,24,0.5,"aubergine longue violette de barbentane
le sachet de 30 graines"
Vegetable,Aubergine Puso Purple Cluster,20,5,18,0.3,3,6000,70,"[""Sandy loam"",""Loamy soil"",""Clayey soil""]","[""Tropical regions"",""Mediterranean regions""]","[""Summer"",""Autumn""]",20,35,100,48,"[""Nitrogen-based"",""Potassium-based"",""Phosphorus-based""]",2,24,12,4,"aubergine puso purple cluster
le sachet de 30 graines"
Vegetable,Aubergine Bambino,20,2,18,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer"",""Autumn""]",30,35,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,"aubergine bambino
le sachet de 30 graines"
Vegetable,Aubergine Rosso Di Napoli,23,3,20,0.3,4,3600,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Start Summer"",""Summer"",""Early Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,36,24,0.5,"aubergine rosso di napoli
le sachet de 30 graines"
Vegetable,Aubergine Rotonda Bianca Sfumata Di Rosa,20-30,5-10,15-25,0.2-0.4,4-6,6-8,60-80,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",40-50,35-40,50-100,48-72,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4-6,24-36,12-18,0.5-1,"aubergine rotonda bianca sfumata di rosa
le sachet de 30 graines"
Vegetable,Aubergine Listada de Gandia,25,5,20,0.3,4,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe""]","[""Start summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,"aubergine listada de gandia
le sachet de 30 graines"
Vegetable,Aubergine Japanese Pickling,22,5,18,0.35,4.5,8000,70,"[""Loamy"",""Sandy""]","[""Japan"",""China"",""Korea""]","[""Spring"",""Summer""]",30,35,15,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,36,12,0.5,"aubergine japanese pickling
le sachet de 30 graines"
Vegetable,Aubergine Skoutari,20,5,15,0.3,3,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Start Summer"",""Late Spring"",""Early Autumn""]",30,35,20,48,"[""NPK 5-10-10"",""Compost"",""Organic Fertilizer""]",4,36,12,0.5,"aubergine skoutari
le sachet de 30 graines"
Vegetable,Aubergine Blanche Longue de Dourga,20,5,18,0.3,4,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Summer"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,36,24,1,"aubergine blanche longue de dourga
le sachet de 30 graines"
Vegetable,Aubergine Ronde de Valence,20,3,18,0.4,4,3600,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",2,40,24,1,"aubergine ronde de valence
le sachet de 30 graines"
Vegetable,Aubergine Impérial Black Beauty,20,5,18,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Mediterranean climate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,18,0.5,"aubergine impérial black beauty
le sachet de 30 graines"
Annual,Ficoïde Glaciale,22,5,18,0.4,3,30000,70,"[""Sandy loam"",""Loamy sand"",""Silt loam""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,10,12,0.5,ficoïde glaciale
Flower,Bleuet Bleu,20,5,18,0.4,4,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""France"",""United Kingdom"",""Canada""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,24,12,1,"bleuet bleu
le sachet de +/- 230 graines"
Flower,Bleuet en mélange,18,5,15,0.2,3,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""France"",""Canada"",""United States""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,1,"bleuet en mélange
le sachet de +/- 230 graines"
Annual Flower,Capucine Naine En Mélange,20,5,18,0.3,4,3000,60,"[""Loamy"",""Sandy""]","[""France"",""Germany"",""United Kingdom""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,12,12,0.5,"capucine naine en mélange
le sachet de 12 graines"
Flower,Capucine Naine Panachée,20,5,18,0.4,3,6000,70,"[""Loam"",""Sandy"",""Clay""]","[""Sunny areas"",""Well-drained soil""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,12,6,0.5,"capucine naine panachée
le sachet de 12 graines"
Herb,Chardon Marie,20,5,18,0.3,3.5,6000,60,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Mediterranean region"",""North Africa"",""Southern Europe""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK fertilizer"",""Compost""]",4,60,12,0.5,chardon marie
Annual Flower,Cléome Rose,22,5,18,0.3,4,6000,60,"[""Well-drained soil"",""Loamy soil""]","[""Sun-exposed areas"",""Moderate shade""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,48,24,0.25,cléome rose
Flowering Plant,Chrysanthemum,20-25,5-10,15-20,0.25-0.35,3-5,3000-3500,60-70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24-36,12-18,0.5-1,chrysanthème des moissons
Flowering Plant,Coquelicot des Champs,22,5,18,0.3,3,3600,50,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,coquelicot des champs
Annual Flower,Cosmos Sensation Picotée,18,3,20,0.3,2,6000,60,"[""Well-drained sandy loam"",""Loam"",""Clay loam""]","[""Full sun gardens"",""Border gardens"",""Containers""]","[""Start summer"",""Spring"",""Fall""]",40,35,20,48,"[""Balanced NPK fertilizer"",""Organic compost""]",4,36,12,0.25,"cosmos sensation picotée
le sachet de +/- 160 graines"
Legume,Haricot d'Espagne,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Spain"",""Italy""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",2,24,12,2,"haricot d'espagne
le sachet de +/- 20 graines"
Immortelle à bractées,Le sachet de +/- 430 graines,22,5,17,0.4,3,300,70,"[""loam"",""sandy loam"",""clay loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Start of summer"",""Spring"",""Autumn""]",40,40,20,48,"[""nitrogen"",""phosphorus"",""potassium""]",4,24,12,0.5,"immortelle à bractées
le sachet de +/- 430 graines"
Flowering Plant,Ipomée en mélange,20,5,18,0.3,4,5000,70,"[""Sandy loam"",""Clay loam"",""Silty loam""]","[""Tropical regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,12,0.5,ipomée en mélange
Flowering Plant,Lavatera trimestris,20,5,18,0.3,4,600,60,"[""Well-drained soil"",""Loamy soil"",""Sandy soil""]","[""Mediterranean region"",""North Africa"",""Southern Europe""]","[""Summer"",""Early Autumn""]",30,35,50,48,"[""Compost"",""Organic fertilizer""]",4,36,24,1.5,"lavatère, grandes fleurs"
Flowering Plant,Limnanthes,20,5,18,0.3,3,6000,70,"[""Loamy"",""Sandy""]","[""California"",""Oregon"",""Washington""]","[""Spring"",""Summer""]",40,35,20,48,"[""All-purpose fertilizer"",""Organic compost""]",4,12,12,0.5,limnanthes
Annual,Lin Annuel Bleu,12 °C,10 mm,15 °C,0.2 m³/m³,4 mm/day,600 seconds,60%,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",40 km/h,35 °C,50 mm,48 hours,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks,36 in,24 in,0.5 in,lin annuel bleu
Annual Flower,Muflier,20,5,18,0.3,3,6000,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Sun to Partial Shade"",""Well-drained soil""]","[""Spring"",""Summer"",""Fall""]",40,35,20,Every 2 days,"[""All-purpose liquid fertilizer"",""Organic compost""]",Every 4 weeks,24,12,0.2,"muflier
le sachet de +/- 3570 graines"
Flowering Plant,Nicandra physalodes,20,5,18,0.4,3,18000,60,"[""Loam"",""Sandy loam""]","[""South America"",""North America"",""Europe""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""NPK fertilizer"",""Compost""]",4,60,24,0.5,nicandra
Flower,Nigelle de Damas,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Middle East"",""North Africa""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,"nigelle de damas
le sachet de +/- 370 graines"
Annual Flower,Pavot Rose Simple,20,5,17,0.4,3,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer"",""Early Fall""]",40,35,20,48,"[""Organic compost"",""All-purpose liquid fertilizer""]",2,24,12,0.2,"pavot rose simple
le sachet de +/- 770 graines"
Flowering Plant,Pavot Planète Rouge du Jura,20,5,15,0.3,3,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""France"",""Switzerland"",""Germany""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Compost""]",4,36,12,0.2,"pavot planète rouge du jura
le sachet de +/- 770 graines"
Annual Flower,Pavot de Californie,20,2,18,0.4,3,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""California"",""France"",""United Kingdom""]","[""Spring"",""Summer""]",40,35,15,24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,10,0.2,"pavot de californie
le sachet de +/- 280 graines"
Flowering plant,Pied d'alouette bleu,15-25,2-5,15-20,0.2-0.4,3-5,24000-28000,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40-50,35-40,50-100,48-72,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4-6,24-36,12-18,0.2-0.4,pied d'alouette bleu
Flower,Pois de senteur en mélange,18,5,15,0.3,3,18000,60,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""Temperate regions"",""Mediterranean regions""]","[""Start summer""]",30,35,20,48,"[""All-purpose fertilizer"",""Organic compost""]",4,60,12,0.5,"pois de senteur en mélange
le sachet de +/- 35 graines"
